week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
201752,7,2543,761,4325,45,14,76,44,GRAND EST
201752,7,439,0,954,7,0,16,75,NOUVELLE-AQUITAINE
201752,7,1652,37,3267,21,1,41,84,AUVERGNE-RHONE-ALPES
201752,7,1261,271,2251,43,9,77,27,BOURGOGNE-FRANCHE-COMTE
201752,7,339,0,830,10,0,25,53,BRETAGNE
201752,7,358,43,673,14,2,26,24,CENTRE-VAL-DE-LOIRE
201752,7,0,0,0,0,0,0,94,CORSE
201752,7,368,0,920,3,0,8,11,ILE-DE-FRANCE
201752,7,772,0,1617,13,0,27,76,OCCITANIE
201752,7,513,0,1236,8,0,20,32,HAUTS-DE-FRANCE
201752,7,682,0,1853,20,0,54,28,NORMANDIE
201752,7,738,16,1460,20,1,39,52,PAYS-DE-LA-LOIRE
201752,7,1130,0,2334,22,0,46,93,PROVENCE-ALPES-COTE-D-AZUR
201751,7,1558,218,2898,27,3,51,44,GRAND EST
201751,7,854,0,1915,14,0,32,75,NOUVELLE-AQUITAINE
201751,7,1248,0,2496,16,0,32,84,AUVERGNE-RHONE-ALPES
201751,7,377,0,843,13,0,29,27,BOURGOGNE-FRANCHE-COMTE
201751,7,97,0,369,3,0,11,53,BRETAGNE
201751,7,274,30,518,10,1,19,24,CENTRE-VAL-DE-LOIRE
201751,7,7,0,32,2,0,10,94,CORSE
201751,7,799,0,1962,7,0,17,11,ILE-DE-FRANCE
201751,7,556,0,1239,10,0,22,76,OCCITANIE
201751,7,1024,53,1995,17,1,33,32,HAUTS-DE-FRANCE
201751,7,142,0,581,4,0,17,28,NORMANDIE
201751,7,222,0,657,6,0,18,52,PAYS-DE-LA-LOIRE
201751,7,1191,20,2362,24,1,47,93,PROVENCE-ALPES-COTE-D-AZUR
201750,7,2268,600,3936,40,11,69,44,GRAND EST
201750,7,1020,0,2321,17,0,39,75,NOUVELLE-AQUITAINE
201750,7,840,143,1537,11,2,20,84,AUVERGNE-RHONE-ALPES
201750,7,406,0,927,14,0,32,27,BOURGOGNE-FRANCHE-COMTE
201750,7,226,0,645,7,0,19,53,BRETAGNE
201750,7,517,86,948,20,4,36,24,CENTRE-VAL-DE-LOIRE
201750,7,26,0,73,8,0,22,94,CORSE
201750,7,2228,476,3980,18,4,32,11,ILE-DE-FRANCE
201750,7,304,0,755,5,0,13,76,OCCITANIE
201750,7,1423,378,2468,23,6,40,32,HAUTS-DE-FRANCE
201750,7,182,0,491,5,0,14,28,NORMANDIE
201750,7,861,73,1649,23,2,44,52,PAYS-DE-LA-LOIRE
201750,7,136,0,426,3,0,9,93,PROVENCE-ALPES-COTE-D-AZUR
201749,7,1016,57,1975,18,1,35,44,GRAND EST
201749,7,1607,0,3246,27,0,54,75,NOUVELLE-AQUITAINE
201749,7,1397,333,2461,18,5,31,84,AUVERGNE-RHONE-ALPES
201749,7,793,71,1515,27,2,52,27,BOURGOGNE-FRANCHE-COMTE
201749,7,330,0,855,10,0,26,53,BRETAGNE
201749,7,701,226,1176,27,9,45,24,CENTRE-VAL-DE-LOIRE
201749,7,86,1,171,26,0,52,94,CORSE
201749,7,800,0,1679,7,0,14,11,ILE-DE-FRANCE
201749,7,359,0,875,6,0,15,76,OCCITANIE
201749,7,1408,294,2522,23,5,41,32,HAUTS-DE-FRANCE
201749,7,691,0,1473,20,0,43,28,NORMANDIE
201749,7,585,5,1165,16,1,31,52,PAYS-DE-LA-LOIRE
201749,7,757,0,1528,15,0,30,93,PROVENCE-ALPES-COTE-D-AZUR
201748,7,369,0,815,6,0,14,44,GRAND EST
201748,7,1056,81,2031,18,2,34,75,NOUVELLE-AQUITAINE
201748,7,1481,280,2682,19,4,34,84,AUVERGNE-RHONE-ALPES
201748,7,328,0,794,11,0,27,27,BOURGOGNE-FRANCHE-COMTE
201748,7,557,0,1400,17,0,42,53,BRETAGNE
201748,7,231,0,504,9,0,19,24,CENTRE-VAL-DE-LOIRE
201748,7,27,0,77,8,0,23,94,CORSE
201748,7,1029,0,2145,8,0,17,11,ILE-DE-FRANCE
201748,7,220,0,623,4,0,11,76,OCCITANIE
201748,7,1371,213,2529,22,3,41,32,HAUTS-DE-FRANCE
201748,7,580,0,1432,17,0,42,28,NORMANDIE
201748,7,434,0,933,12,0,25,52,PAYS-DE-LA-LOIRE
201748,7,455,0,1179,9,0,23,93,PROVENCE-ALPES-COTE-D-AZUR
201747,7,441,0,1033,8,0,18,44,GRAND EST
