date,annee,zone,nom_jour_ferie
2010-01-01,2010,Métropole,1er janvier
2010-04-05,2010,Métropole,Lundi de Pâques
2010-05-01,2010,Métropole,1er mai
2010-05-08,2010,Métropole,8 mai
2010-05-13,2010,Métropole,Ascension
2010-05-24,2010,Métropole,Lundi de Pentecôte
2010-07-14,2010,Métropole,14 juillet
2010-08-15,2010,Métropole,Assomption
2010-11-01,2010,Métropole,Toussaint
2010-11-11,2010,Métropole,11 novembre
2010-12-25,2010,Métropole,Jour de Noël
2011-01-01,2011,Métropole,1er janvier
2011-04-25,2011,Métropole,Lundi de Pâques
2011-05-01,2011,Métropole,1er mai
2011-05-08,2011,Métropole,8 mai
2011-06-02,2011,Métropole,Ascension
2011-06-13,2011,Métropole,Lundi de Pentecôte
2011-07-14,2011,Métropole,14 juillet
2011-08-15,2011,Métropole,Assomption
2011-11-01,2011,Métropole,Toussaint
2011-11-11,2011,Métropole,11 novembre
2011-12-25,2011,Métropole,Jour de Noël
2012-01-01,2012,Métropole,1er janvier
2012-04-09,2012,Métropole,Lundi de Pâques
2012-05-01,2012,Métropole,1er mai
2012-05-08,2012,Métropole,8 mai
2012-05-17,2012,Métropole,Ascension
2012-05-28,2012,Métropole,Lundi de Pentecôte
2012-07-14,2012,Métropole,14 juillet
2012-08-15,2012,Métropole,Assomption
2012-11-01,2012,Métropole,Toussaint
2012-11-11,2012,Métropole,11 novembre
2012-12-25,2012,Métropole,Jour de Noël
2013-01-01,2013,Métropole,1er janvier
2013-04-01,2013,Métropole,Lundi de Pâques
2013-05-01,2013,Métropole,1er mai
2013-05-08,2013,Métropole,8 mai
2013-05-09,2013,Métropole,Ascension
2013-05-20,2013,Métropole,Lundi de Pentecôte
2013-07-14,2013,Métropole,14 juillet
2013-08-15,2013,Métropole,Assomption
2013-11-01,2013,Métropole,Toussaint
2013-11-11,2013,Métropole,11 novembre
2013-12-25,2013,Métropole,Jour de Noël
2014-01-01,2014,Métropole,1er janvier
2014-04-21,2014,Métropole,Lundi de Pâques
2014-05-01,2014,Métropole,1er mai
2014-05-08,2014,Métropole,8 mai
2014-05-29,2014,Métropole,Ascension
2014-06-09,2014,Métropole,Lundi de Pentecôte
2014-07-14,2014,Métropole,14 juillet
2014-08-15,2014,Métropole,Assomption
2014-11-01,2014,Métropole,Toussaint
2014-11-11,2014,Métropole,11 novembre
2014-12-25,2014,Métropole,Jour de Noël
2015-01-01,2015,Métropole,1er janvier
2015-04-06,2015,Métropole,Lundi de Pâques
2015-05-01,2015,Métropole,1er mai
2015-05-08,2015,Métropole,8 mai
2015-05-14,2015,Métropole,Ascension
2015-05-25,2015,Métropole,Lundi de Pentecôte
2015-07-14,2015,Métropole,14 juillet
2015-08-15,2015,Métropole,Assomption
2015-11-01,2015,Métropole,Toussaint
2015-11-11,2015,Métropole,11 novembre
2015-12-25,2015,Métropole,Jour de Noël
2016-01-01,2016,Métropole,1er janvier
2016-03-28,2016,Métropole,Lundi de Pâques
2016-05-01,2016,Métropole,1er mai
2016-05-05,2016,Métropole,Ascension
2016-05-08,2016,Métropole,8 mai
2016-05-16,2016,Métropole,Lundi de Pentecôte
2016-07-14,2016,Métropole,14 juillet
2016-08-15,2016,Métropole,Assomption
2016-11-01,2016,Métropole,Toussaint
2016-11-11,2016,Métropole,11 novembre
2016-12-25,2016,Métropole,Jour de Noël
2017-01-01,2017,Métropole,1er janvier
2017-04-17,2017,Métropole,Lundi de Pâques
2017-05-01,2017,Métropole,1er mai
2017-05-08,2017,Métropole,8 mai
2017-05-25,2017,Métropole,Ascension
2017-06-05,2017,Métropole,Lundi de Pentecôte
2017-07-14,2017,Métropole,14 juillet
2017-08-15,2017,Métropole,Assomption
2017-11-01,2017,Métropole,Toussaint
2017-11-11,2017,Métropole,11 novembre
2017-12-25,2017,Métropole,Jour de Noël
