year,week,vacances_zone_c,ferie,inc_varicelle,inc_diarrhee,inc_grippe,nb_ope
2010,1,0,0,3735.0,42889.0,10207.0,1839.0
2010,2,0,0,3120.0,61576.0,9134.0,1775.0
2010,3,0,0,1420.0,60448.0,4816.0,1496.0
2010,4,0,0,1284.0,61601.0,4348.0,1629.0
2010,5,0,0,6835.0,47258.0,2888.0,1653.0
2010,6,0,0,3463.0,44471.0,1695.0,1703.0
2010,7,2,0,7090.0,39867.0,2646.0,1642.0
2010,8,7,0,5632.0,29301.0,3000.0,2488.0
2010,9,7,0,5897.0,28556.0,1023.0,1491.0
2010,10,0,0,4801.0,32471.0,260.0,1583.0
2010,11,0,0,2227.0,17441.0,457.0,1688.0
2010,12,0,0,2523.0,19208.0,337.0,1515.0
2010,13,0,0,3064.0,14131.0,272.0,1621.0
2010,14,0,1,9572.0,7207.0,1609.0,1748.0
2010,15,2,0,4948.0,15009.0,1054.0,1658.0
2010,16,7,0,3089.0,10183.0,0.0,1571.0
2010,17,7,1,6897.0,12920.0,701.0,1565.0
2010,18,0,1,3922.0,10251.0,1155.0,1487.0
2010,19,0,1,2112.0,7583.0,401.0,1478.0
2010,20,0,0,1898.0,7076.0,197.0,1789.0
2010,21,0,1,1847.0,7333.0,981.0,1795.0
2010,22,0,0,5732.0,14114.0,1007.0,1978.0
2010,23,0,0,3480.0,7072.0,160.0,1880.0
2010,24,0,0,2934.0,11384.0,517.0,1739.0
2010,25,0,0,3722.0,7566.0,452.0,1999.0
2010,26,3,0,7810.0,11634.0,239.0,2418.0
2010,27,7,0,8057.0,9147.0,169.0,2001.0
2010,28,7,1,3524.0,20683.0,63.0,2301.0
2010,29,7,0,1910.0,5155.0,0.0,1700.0
2010,30,7,0,1135.0,4465.0,0.0,1693.0
2010,31,7,0,1318.0,8482.0,397.0,1539.0
2010,32,7,1,1180.0,12975.0,0.0,1530.0
2010,33,7,0,953.0,11796.0,0.0,1573.0
2010,34,7,0,1362.0,10178.0,61.0,1559.0
2010,35,3,0,415.0,9111.0,270.0,1631.0
2010,36,0,0,63.0,6740.0,806.0,1715.0
2010,37,0,0,0.0,7531.0,820.0,1740.0
2010,38,0,0,0.0,9429.0,1915.0,1727.0
2010,39,0,0,511.0,11658.0,1734.0,1688.0
2010,40,0,0,581.0,15429.0,2528.0,1840.0
2010,41,0,0,1243.0,11967.0,1704.0,1677.0
2010,42,2,0,1367.0,11929.0,4479.0,1770.0
2010,43,7,0,954.0,13780.0,2220.0,1488.0
2010,44,3,1,1953.0,13499.0,2198.0,1580.0
2010,45,0,1,610.0,17950.0,737.0,1604.0
2010,46,0,0,750.0,14506.0,2571.0,1623.0
2010,47,0,0,643.0,16063.0,7189.0,1545.0
2010,48,0,0,2465.0,14926.0,8864.0,1622.0
2010,49,0,0,1857.0,20331.0,20445.0,2020.0
2010,50,2,0,1486.0,18380.0,31657.0,1927.0
2010,51,7,1,1418.0,15724.0,40307.0,1858.0
2010,52,5,0,2423.0,32299.0,54359.0,1160.0
2010,53,3,1,,,,
2011,1,0,0,631.0,44600.0,58258.0,1667.0
2011,2,0,0,358.0,27909.0,36451.0,1710.0
2011,3,0,0,452.0,22794.0,27224.0,1588.0
2011,4,0,0,3281.0,23309.0,26865.0,1605.0
2011,5,0,0,3806.0,19547.0,22763.0,1874.0
2011,6,2,0,270.0,15581.0,19211.0,1563.0
2011,7,7,0,510.0,20701.0,9137.0,1363.0
2011,8,7,0,3046.0,13842.0,3620.0,1490.0
2011,9,0,0,1152.0,19351.0,3939.0,1551.0
2011,10,0,0,1536.0,13822.0,3411.0,1634.0
2011,11,0,0,2265.0,13998.0,1537.0,1592.0
2011,12,0,0,1807.0,13828.0,1358.0,1711.0
2011,13,0,0,3092.0,11051.0,1934.0,1757.0
2011,14,2,0,3011.0,10813.0,479.0,1819.0
2011,15,7,0,4788.0,5188.0,674.0,1557.0
2011,16,7,0,1931.0,10722.0,861.0,1673.0
2011,17,1,2,2163.0,11673.0,407.0,1704.0
2011,18,0,1,2026.0,13300.0,355.0,1839.0
2011,19,0,0,2582.0,11505.0,416.0,1922.0
2011,20,0,0,4440.0,12240.0,133.0,1871.0
2011,21,0,0,5386.0,10067.0,620.0,1986.0
2011,22,0,1,5635.0,10520.0,341.0,2133.0
2011,23,0,0,3998.0,15796.0,316.0,2074.0
2011,24,0,1,3318.0,10648.0,708.0,1949.0
2011,25,0,0,2227.0,9202.0,262.0,2099.0
2011,26,2,0,1851.0,8590.0,463.0,2281.0
2011,27,7,0,3921.0,6731.0,878.0,1877.0
2011,28,7,1,0.0,1721.0,0.0,1670.0
2011,29,7,0,283.0,21361.0,0.0,1508.0
2011,30,7,0,1757.0,6211.0,0.0,1501.0
2011,31,7,0,2810.0,10891.0,82.0,1472.0
2011,32,7,0,408.0,5627.0,1291.0,1340.0
2011,33,7,1,0.0,9167.0,485.0,1453.0
2011,34,7,0,0.0,3957.0,302.0,1551.0
2011,35,7,0,163.0,3184.0,0.0,1788.0
2011,36,0,0,0.0,8354.0,0.0,1715.0
2011,37,0,0,0.0,10342.0,1563.0,1604.0
2011,38,0,0,0.0,8295.0,1537.0,1771.0
2011,39,0,0,296.0,8130.0,2759.0,1923.0
2011,40,0,0,0.0,11948.0,2035.0,1769.0
2011,41,0,0,698.0,12101.0,1855.0,1797.0
2011,42,2,0,732.0,13011.0,2003.0,1779.0
2011,43,7,0,1427.0,9488.0,2169.0,1592.0
2011,44,3,1,714.0,8865.0,3485.0,1589.0
2011,45,0,1,242.0,17928.0,1943.0,1642.0
2011,46,0,0,1181.0,19186.0,5318.0,1722.0
2011,47,0,0,1089.0,18974.0,2653.0,1805.0
2011,48,0,0,1275.0,22849.0,3432.0,1800.0
2011,49,0,0,531.0,30409.0,6437.0,1659.0
2011,50,2,0,1842.0,21704.0,5668.0,1976.0
2011,51,7,1,568.0,10517.0,3039.0,1681.0
2011,52,8,1,2598.0,26944.0,8616.0,1895.0
2012,1,2,0,2182.0,32309.0,8480.0,1879.0
2012,2,0,0,2386.0,26647.0,4102.0,1727.0
2012,3,0,0,847.0,28450.0,2929.0,1698.0
2012,4,0,0,1342.0,28524.0,8470.0,1645.0
2012,5,0,0,2346.0,29310.0,18925.0,1735.0
2012,6,0,0,3418.0,29464.0,33034.0,1951.0
2012,7,2,0,1766.0,23497.0,48251.0,1906.0
2012,8,7,0,1490.0,18725.0,38562.0,1550.0
2012,9,7,0,2033.0,13070.0,24884.0,1553.0
2012,10,0,0,921.0,13146.0,16045.0,1633.0
2012,11,0,0,706.0,13412.0,15962.0,1634.0
2012,12,0,0,1510.0,7315.0,6137.0,1771.0
2012,13,0,0,2537.0,6720.0,5866.0,1740.0
2012,14,0,0,1376.0,6906.0,4232.0,1688.0
2012,15,2,1,316.0,9712.0,1333.0,1576.0
2012,16,7,0,1163.0,9040.0,557.0,1437.0
2012,17,7,0,7136.0,15515.0,169.0,1375.0
2012,18,0,1,4228.0,10911.0,460.0,1754.0
2012,19,0,1,3723.0,10918.0,0.0,1624.0
2012,20,0,1,2225.0,6992.0,0.0,1612.0
2012,21,0,0,2798.0,19469.0,56.0,1871.0
2012,22,0,1,2871.0,4414.0,77.0,2601.0
2012,23,0,0,3729.0,8031.0,0.0,1716.0
2012,24,0,0,1593.0,10695.0,54.0,1728.0
2012,25,0,0,3489.0,8949.0,187.0,1864.0
2012,26,0,0,3995.0,4641.0,317.0,1771.0
2012,27,3,0,2074.0,4587.0,1434.0,1801.0
2012,28,7,1,2814.0,4373.0,0.0,1663.0
2012,29,7,0,2182.0,5328.0,0.0,1601.0
2012,30,7,0,929.0,18228.0,0.0,1684.0
2012,31,7,0,1044.0,4884.0,616.0,1471.0
2012,32,7,0,686.0,14172.0,0.0,1444.0
2012,33,7,1,320.0,13747.0,242.0,1482.0
2012,34,7,0,1767.0,15050.0,841.0,1693.0
2012,35,7,0,1391.0,8836.0,549.0,1650.0
2012,36,1,0,0.0,8358.0,307.0,1683.0
2012,37,0,0,0.0,12548.0,472.0,1642.0
2012,38,0,0,192.0,9056.0,971.0,1668.0
2012,39,0,0,637.0,9444.0,644.0,1754.0
2012,40,0,0,426.0,18372.0,2978.0,1720.0
2012,41,0,0,953.0,21322.0,986.0,1733.0
2012,42,0,0,1698.0,17965.0,1493.0,1829.0
2012,43,2,0,425.0,15871.0,737.0,1739.0
2012,44,7,1,945.0,11149.0,88.0,1576.0
2012,45,7,1,3174.0,22686.0,544.0,1554.0
2012,46,0,0,879.0,16010.0,3130.0,1637.0
2012,47,0,0,1431.0,17937.0,7219.0,1694.0
2012,48,0,0,1927.0,16570.0,8588.0,1714.0
2012,49,0,0,1229.0,17840.0,7999.0,1667.0
2012,50,0,0,3438.0,18798.0,12264.0,1805.0
2012,51,2,0,1856.0,23068.0,17314.0,1831.0
2012,52,8,2,2204.0,29536.0,27519.0,1916.0
2013,1,8,1,971.0,28505.0,25933.0,1871.0
2013,2,0,0,2850.0,40423.0,32980.0,1576.0
2013,3,0,0,2203.0,34322.0,37176.0,1732.0
2013,4,0,0,1854.0,31506.0,66753.0,1687.0
2013,5,0,0,3187.0,24874.0,69603.0,1785.0
2013,6,0,0,3133.0,15767.0,53143.0,1658.0
2013,7,0,0,3843.0,17456.0,67746.0,1648.0
2013,8,0,0,5505.0,31295.0,58249.0,1677.0
2013,9,2,0,4285.0,23315.0,50770.0,1785.0
2013,10,7,0,7470.0,20146.0,24184.0,1456.0
2013,11,7,0,3841.0,12200.0,11240.0,1524.0
2013,12,0,0,3629.0,14490.0,5873.0,1593.0
2013,13,0,0,3062.0,14130.0,4268.0,1574.0
2013,14,0,1,4212.0,18245.0,3597.0,1671.0
2013,15,0,0,2503.0,25301.0,3978.0,1730.0
2013,16,0,0,3030.0,17623.0,479.0,1470.0
2013,17,2,0,3068.0,26099.0,29166.0,1676.0
2013,18,7,1,1994.0,12094.0,1237.0,1525.0
2013,19,7,2,2814.0,2881.0,372.0,1430.0
2013,20,0,0,4556.0,8892.0,1133.0,1664.0
2013,21,0,1,1514.0,3849.0,1937.0,1623.0
2013,22,0,0,1303.0,13468.0,3725.0,1724.0
2013,23,0,0,2296.0,5561.0,557.0,2163.0
2013,24,0,0,4970.0,8941.0,2106.0,1742.0
2013,25,0,0,1783.0,6786.0,749.0,2584.0
2013,26,0,0,3417.0,16915.0,0.0,1706.0
2013,27,2,0,3063.0,7578.0,0.0,1894.0
2013,28,7,1,2783.0,1724.0,0.0,1825.0
2013,29,7,0,469.0,3716.0,0.0,1871.0
2013,30,7,0,2803.0,8524.0,0.0,2029.0
2013,31,7,0,1352.0,15734.0,0.0,1746.0
2013,32,7,0,0.0,7625.0,0.0,1516.0
2013,33,7,1,0.0,9571.0,0.0,1431.0
2013,34,7,0,275.0,6467.0,0.0,1539.0
2013,35,7,0,518.0,4272.0,0.0,1570.0
2013,36,1,0,2355.0,9063.0,0.0,1752.0
2013,37,0,0,448.0,10303.0,901.0,1643.0
2013,38,0,0,1155.0,11475.0,0.0,1749.0
2013,39,0,0,1312.0,10193.0,0.0,1896.0
2013,40,0,0,726.0,11553.0,1189.0,1809.0
2013,41,0,0,9409.0,29828.0,1337.0,1702.0
2013,42,2,0,7204.0,17596.0,2704.0,1741.0
2013,43,7,0,1939.0,17639.0,1371.0,1634.0
2013,44,7,1,5131.0,9234.0,2423.0,1503.0
2013,45,0,0,3122.0,18059.0,3377.0,1705.0
2013,46,0,1,2209.0,17801.0,3267.0,1615.0
2013,47,0,0,3025.0,14417.0,1742.0,1763.0
2013,48,0,0,1750.0,22804.0,1399.0,1731.0
2013,49,0,0,2087.0,18450.0,1235.0,1812.0
2013,50,0,0,1370.0,26090.0,1546.0,1845.0
2013,51,2,0,2016.0,26283.0,5799.0,1629.0
2013,52,7,1,908.0,24126.0,2882.0,1606.0
2014,1,8,1,9091.0,24784.0,3913.0,1796.0
2014,2,0,0,4778.0,25673.0,4615.0,1559.0
2014,3,0,0,2361.0,28903.0,8701.0,1690.0
2014,4,0,0,3064.0,30173.0,14341.0,1614.0
2014,5,0,0,2714.0,26768.0,18067.0,1678.0
2014,6,0,0,2000.0,19480.0,21325.0,1863.0
2014,7,2,0,2718.0,12187.0,26628.0,1677.0
2014,8,7,0,3231.0,12442.0,20471.0,1550.0
2014,9,7,0,2770.0,18775.0,11569.0,1490.0
2014,10,0,0,1703.0,21617.0,9312.0,1696.0
2014,11,0,0,1296.0,9972.0,4999.0,1702.0
2014,12,0,0,3295.0,15476.0,5944.0,1673.0
2014,13,0,0,2303.0,13126.0,2582.0,1687.0
2014,14,0,0,1929.0,18508.0,4647.0,1844.0
2014,15,2,0,3373.0,13502.0,2854.0,1683.0
2014,16,7,0,1971.0,6587.0,692.0,1536.0
2014,17,7,1,1886.0,7026.0,162.0,1591.0
2014,18,0,1,4642.0,12928.0,788.0,1552.0
2014,19,0,1,2379.0,8472.0,0.0,1560.0
2014,20,0,0,5256.0,7519.0,112.0,1788.0
2014,21,0,0,3018.0,11299.0,56.0,1715.0
2014,22,0,1,3182.0,11995.0,0.0,1613.0
2014,23,0,0,9390.0,22279.0,0.0,1945.0
2014,24,0,1,7381.0,11773.0,0.0,2345.0
2014,25,0,0,4719.0,12940.0,0.0,1890.0
2014,26,0,0,2958.0,9847.0,2650.0,1744.0
2014,27,2,0,2458.0,8637.0,2393.0,1801.0
2014,28,7,0,2635.0,6182.0,1188.0,1569.0
2014,29,7,1,1441.0,6596.0,1357.0,1926.0
2014,30,7,0,1768.0,3587.0,1103.0,1612.0
2014,31,7,0,88.0,8538.0,3289.0,1644.0
2014,32,7,0,450.0,6724.0,0.0,1385.0
2014,33,7,1,599.0,6597.0,0.0,1188.0
2014,34,7,0,171.0,8771.0,275.0,1345.0
2014,35,7,0,780.0,9426.0,715.0,1473.0
2014,36,1,0,2494.0,8102.0,1769.0,1634.0
2014,37,0,0,0.0,16654.0,10047.0,1750.0
2014,38,0,0,0.0,11964.0,4528.0,1753.0
2014,39,0,0,0.0,14888.0,2667.0,1813.0
2014,40,0,0,244.0,12988.0,3586.0,1750.0
2014,41,0,0,2714.0,18347.0,4771.0,1799.0
2014,42,2,0,0.0,19362.0,5966.0,1801.0
2014,43,7,0,784.0,19397.0,3938.0,1495.0
2014,44,7,1,249.0,15750.0,1398.0,1618.0
2014,45,0,0,1465.0,22821.0,5834.0,1668.0
2014,46,0,1,108.0,18421.0,4533.0,1654.0
2014,47,0,0,0.0,30227.0,4941.0,1772.0
2014,48,0,0,392.0,27125.0,9491.0,1774.0
2014,49,0,0,538.0,33082.0,11655.0,1829.0
2014,50,0,0,1468.0,38083.0,12810.0,1841.0
2014,51,2,0,1201.0,38524.0,10068.0,1839.0
2014,52,7,1,2751.0,39102.0,13745.0,1632.0
2015,1,4,1,5006.0,30174.0,13181.0,1071.0
2015,2,0,0,2225.0,27727.0,25870.0,1719.0
2015,3,0,0,808.0,20292.0,36413.0,1722.0
