week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
201752,6,12539,8896,16182,221,157,285,44,GRAND EST
201752,6,7890,3801,11979,131,63,199,75,NOUVELLE-AQUITAINE
201752,6,11300,7915,14685,142,99,185,84,AUVERGNE-RHONE-ALPES
201752,6,6307,4170,8444,217,143,291,27,BOURGOGNE-FRANCHE-COMTE
201752,6,4625,2382,6868,138,71,205,53,BRETAGNE
201752,6,2185,1232,3138,83,47,119,24,CENTRE-VAL-DE-LOIRE
201752,6,283,109,457,87,34,140,94,CORSE
201752,6,14938,9638,20238,123,79,167,11,ILE-DE-FRANCE
201752,6,5927,3436,8418,102,59,145,76,OCCITANIE
201752,6,10229,6967,13491,168,115,221,32,HAUTS-DE-FRANCE
201752,6,4017,1512,6522,118,45,191,28,NORMANDIE
201752,6,8566,5202,11930,227,138,316,52,PAYS-DE-LA-LOIRE
201752,6,9841,6223,13459,195,123,267,93,PROVENCE-ALPES-COTE-D-AZUR
201751,6,12363,8947,15779,218,158,278,44,GRAND EST
201751,6,8769,4290,13248,146,71,221,75,NOUVELLE-AQUITAINE
201751,6,9833,7022,12644,124,89,159,84,AUVERGNE-RHONE-ALPES
201751,6,3807,2223,5391,131,77,185,27,BOURGOGNE-FRANCHE-COMTE
201751,6,5934,3807,8061,177,114,240,53,BRETAGNE
201751,6,2101,1217,2985,80,47,113,24,CENTRE-VAL-DE-LOIRE
201751,6,366,181,551,112,55,169,94,CORSE
201751,6,16218,11040,21396,134,91,177,11,ILE-DE-FRANCE
201751,6,8713,5734,11692,150,99,201,76,OCCITANIE
201751,6,12351,9037,15665,202,148,256,32,HAUTS-DE-FRANCE
201751,6,4053,1989,6117,119,59,179,28,NORMANDIE
201751,6,5872,2719,9025,156,72,240,52,PAYS-DE-LA-LOIRE
201751,6,13803,9413,18193,274,187,361,93,PROVENCE-ALPES-COTE-D-AZUR
201750,6,16065,11933,20197,283,210,356,44,GRAND EST
201750,6,7081,3733,10429,118,62,174,75,NOUVELLE-AQUITAINE
201750,6,10293,7829,12757,129,98,160,84,AUVERGNE-RHONE-ALPES
201750,6,4510,2828,6192,155,97,213,27,BOURGOGNE-FRANCHE-COMTE
201750,6,5082,3262,6902,151,97,205,53,BRETAGNE
201750,6,2065,1256,2874,78,47,109,24,CENTRE-VAL-DE-LOIRE
201750,6,221,81,361,68,25,111,94,CORSE
201750,6,20995,15775,26215,173,130,216,11,ILE-DE-FRANCE
201750,6,9239,6633,11845,159,114,204,76,OCCITANIE
201750,6,12853,9750,15956,211,160,262,32,HAUTS-DE-FRANCE
201750,6,4816,2728,6904,141,80,202,28,NORMANDIE
201750,6,6679,4092,9266,177,108,246,52,PAYS-DE-LA-LOIRE
201750,6,15361,11325,19397,305,225,385,93,PROVENCE-ALPES-COTE-D-AZUR
201749,6,15706,11778,19634,277,208,346,44,GRAND EST
201749,6,10749,6507,14991,179,108,250,75,NOUVELLE-AQUITAINE
201749,6,9315,6890,11740,117,87,147,84,AUVERGNE-RHONE-ALPES
201749,6,4633,2951,6315,159,101,217,27,BOURGOGNE-FRANCHE-COMTE
201749,6,4338,2566,6110,129,76,182,53,BRETAGNE
201749,6,2806,1831,3781,106,69,143,24,CENTRE-VAL-DE-LOIRE
201749,6,308,148,468,95,46,144,94,CORSE
201749,6,23439,17480,29398,193,144,242,11,ILE-DE-FRANCE
201749,6,6162,4091,8233,106,70,142,76,OCCITANIE
201749,6,15452,11716,19188,253,192,314,32,HAUTS-DE-FRANCE
201749,6,3257,1443,5071,95,42,148,28,NORMANDIE
201749,6,9382,5287,13477,249,140,358,52,PAYS-DE-LA-LOIRE
201749,6,15530,10790,20270,308,214,402,93,PROVENCE-ALPES-COTE-D-AZUR
201748,6,12293,9221,15365,216,162,270,44,GRAND EST
201748,6,10686,6991,14381,178,117,239,75,NOUVELLE-AQUITAINE
201748,6,9092,6635,11549,114,83,145,84,AUVERGNE-RHONE-ALPES
201748,6,2118,1043,3193,73,36,110,27,BOURGOGNE-FRANCHE-COMTE
201748,6,3321,1608,5034,99,48,150,53,BRETAGNE
201748,6,2916,1905,3927,110,72,148,24,CENTRE-VAL-DE-LOIRE
201748,6,419,225,613,129,69,189,94,CORSE
201748,6,17024,12087,21961,141,100,182,11,ILE-DE-FRANCE
201748,6,7709,5331,10087,132,91,173,76,OCCITANIE
201748,6,11400,8068,14732,187,132,242,32,HAUTS-DE-FRANCE
201748,6,3731,1747,5715,109,51,167,28,NORMANDIE
201748,6,9363,5567,13159,249,148,350,52,PAYS-DE-LA-LOIRE
201748,6,17716,12318,23114,352,245,459,93,PROVENCE-ALPES-COTE-D-AZUR
201747,6,13444,9942,16946,237,175,299,44,GRAND EST
201747,6,6696,3882,9510,111,64,158,75,NOUVELLE-AQUITAINE
201747,6,10352,7544,13160,130,95,165,84,AUVERGNE-RHONE-ALPES
201747,6,1628,683,2573,56,24,88,27,BOURGOGNE-FRANCHE-COMTE
201747,6,2772,1120,4424,82,33,131,53,BRETAGNE
201747,6,3579,2438,4720,135,92,178,24,CENTRE-VAL-DE-LOIRE
201747,6,282,113,451,87,35,139,94,CORSE
201747,6,15815,11031,20599,131,92,170,11,ILE-DE-FRANCE
201747,6,9463,6760,12166,162,116,208,76,OCCITANIE
201747,6,12067,8707,15427,198,143,253,32,HAUTS-DE-FRANCE
201747,6,4394,2359,6429,129,69,189,28,NORMANDIE
201747,6,7457,3531,11383,198,94,302,52,PAYS-DE-LA-LOIRE
201747,6,12079,7564,16594,240,150,330,93,PROVENCE-ALPES-COTE-D-AZUR
201746,6,12767,8840,16694,225,156,294,44,GRAND EST
201746,6,4701,2325,7077,78,38,118,75,NOUVELLE-AQUITAINE
201746,6,7477,5214,9740,94,66,122,84,AUVERGNE-RHONE-ALPES
201746,6,2167,969,3365,75,34,116,27,BOURGOGNE-FRANCHE-COMTE
201746,6,4620,2366,6874,137,70,204,53,BRETAGNE
201746,6,2548,1592,3504,96,60,132,24,CENTRE-VAL-DE-LOIRE
201746,6,295,134,456,91,42,140,94,CORSE
201746,6,15145,10585,19705,125,87,163,11,ILE-DE-FRANCE
201746,6,7095,4601,9589,122,79,165,76,OCCITANIE
201746,6,11728,8561,14895,192,140,244,32,HAUTS-DE-FRANCE
201746,6,3675,1726,5624,108,51,165,28,NORMANDIE
201746,6,8347,4402,12292,222,117,327,52,PAYS-DE-LA-LOIRE
201746,6,11294,7021,15567,224,139,309,93,PROVENCE-ALPES-COTE-D-AZUR
201745,6,8944,5807,12081,157,102,212,44,GRAND EST
201745,6,3393,0,7238,56,0,120,75,NOUVELLE-AQUITAINE
201745,6,7005,4736,9274,88,59,117,84,AUVERGNE-RHONE-ALPES
201745,6,2155,921,3389,74,32,116,27,BOURGOGNE-FRANCHE-COMTE
201745,6,3910,2082,5738,116,62,170,53,BRETAGNE
201745,6,2066,1211,2921,78,46,110,24,CENTRE-VAL-DE-LOIRE
201745,6,286,124,448,88,38,138,94,CORSE
201745,6,11987,7569,16405,99,63,135,11,ILE-DE-FRANCE
201745,6,4004,2168,5840,69,37,101,76,OCCITANIE
201745,6,10871,7511,14231,178,123,233,32,HAUTS-DE-FRANCE
201745,6,4605,1710,7500,135,50,220,28,NORMANDIE
201745,6,6929,3485,10373,184,93,275,52,PAYS-DE-LA-LOIRE
201745,6,11276,7480,15072,224,149,299,93,PROVENCE-ALPES-COTE-D-AZUR
201744,6,3838,1912,5764,68,34,102,44,GRAND EST
201744,6,3768,125,7411,63,2,124,75,NOUVELLE-AQUITAINE
201744,6,5032,2908,7156,63,36,90,84,AUVERGNE-RHONE-ALPES
201744,6,1452,354,2550,50,12,88,27,BOURGOGNE-FRANCHE-COMTE
201744,6,2737,720,4754,81,21,141,53,BRETAGNE
201744,6,1394,605,2183,53,23,83,24,CENTRE-VAL-DE-LOIRE
201744,6,221,75,367,68,23,113,94,CORSE
201744,6,5887,2770,9004,49,23,75,11,ILE-DE-FRANCE
201744,6,3661,1891,5431,63,33,93,76,OCCITANIE
201744,6,7607,4316,10898,125,71,179,32,HAUTS-DE-FRANCE
201744,6,1796,335,3257,53,10,96,28,NORMANDIE
201744,6,4597,1299,7895,122,34,210,52,PAYS-DE-LA-LOIRE
201744,6,9934,5533,14335,197,110,284,93,PROVENCE-ALPES-COTE-D-AZUR
201743,6,8888,5280,12496,156,92,220,44,GRAND EST
201743,6,4200,1841,6559,70,31,109,75,NOUVELLE-AQUITAINE
201743,6,6000,3429,8571,75,43,107,84,AUVERGNE-RHONE-ALPES
201743,6,1237,228,2246,43,8,78,27,BOURGOGNE-FRANCHE-COMTE
201743,6,2633,711,4555,78,21,135,53,BRETAGNE
201743,6,1272,461,2083,48,17,79,24,CENTRE-VAL-DE-LOIRE
201743,6,307,99,515,94,30,158,94,CORSE
201743,6,7602,3427,11777,63,29,97,11,ILE-DE-FRANCE
201743,6,4678,2218,7138,80,38,122,76,OCCITANIE
201743,6,7457,4018,10896,122,66,178,32,HAUTS-DE-FRANCE
201743,6,1934,556,3312,57,17,97,28,NORMANDIE
201743,6,2258,787,3729,60,21,99,52,PAYS-DE-LA-LOIRE
201743,6,8446,4705,12187,168,94,242,93,PROVENCE-ALPES-COTE-D-AZUR
201742,6,9093,5036,13150,160,89,231,44,GRAND EST
201742,6,2865,873,4857,48,15,81,75,NOUVELLE-AQUITAINE
201742,6,6405,4063,8747,80,51,109,84,AUVERGNE-RHONE-ALPES
201742,6,561,0,1225,19,0,42,27,BOURGOGNE-FRANCHE-COMTE
201742,6,2674,882,4466,80,27,133,53,BRETAGNE
201742,6,1361,623,2099,52,24,80,24,CENTRE-VAL-DE-LOIRE
201742,6,210,63,357,65,20,110,94,CORSE
201742,6,12027,6990,17064,99,57,141,11,ILE-DE-FRANCE
201742,6,3248,1569,4927,56,27,85,76,OCCITANIE
201742,6,6491,3589,9393,106,58,154,32,HAUTS-DE-FRANCE
201742,6,2605,1098,4112,76,32,120,28,NORMANDIE
201742,6,1973,642,3304,52,17,87,52,PAYS-DE-LA-LOIRE
201742,6,11432,7174,15690,227,143,311,93,PROVENCE-ALPES-COTE-D-AZUR
201741,6,4805,2602,7008,85,46,124,44,GRAND EST
201741,6,4553,219,8887,76,4,148,75,NOUVELLE-AQUITAINE
201741,6,7544,4955,10133,95,62,128,84,AUVERGNE-RHONE-ALPES
201741,6,1066,180,1952,37,7,67,27,BOURGOGNE-FRANCHE-COMTE
201741,6,3985,2131,5839,119,64,174,53,BRETAGNE
201741,6,1603,870,2336,61,33,89,24,CENTRE-VAL-DE-LOIRE
201741,6,165,44,286,51,14,88,94,CORSE
201741,6,11327,6806,15848,93,56,130,11,ILE-DE-FRANCE
201741,6,2374,942,3806,41,16,66,76,OCCITANIE
201741,6,6527,3650,9404,107,60,154,32,HAUTS-DE-FRANCE
201741,6,1490,208,2772,44,6,82,28,NORMANDIE
201741,6,2419,622,4216,64,16,112,52,PAYS-DE-LA-LOIRE
201741,6,13502,8611,18393,268,171,365,93,PROVENCE-ALPES-COTE-D-AZUR
201740,6,4869,2430,7308,86,43,129,44,GRAND EST
201740,6,5054,1842,8266,84,31,137,75,NOUVELLE-AQUITAINE
201740,6,7504,4942,10066,94,62,126,84,AUVERGNE-RHONE-ALPES
201740,6,1538,433,2643,53,15,91,27,BOURGOGNE-FRANCHE-COMTE
201740,6,2455,916,3994,73,27,119,53,BRETAGNE
201740,6,1710,952,2468,65,36,94,24,CENTRE-VAL-DE-LOIRE
201740,6,166,52,280,51,16,86,94,CORSE
201740,6,13710,7603,19817,113,63,163,11,ILE-DE-FRANCE
201740,6,3852,2130,5574,66,36,96,76,OCCITANIE
201740,6,7756,4469,11043,127,73,181,32,HAUTS-DE-FRANCE
201740,6,2279,768,3790,67,23,111,28,NORMANDIE
201740,6,3131,881,5381,83,23,143,52,PAYS-DE-LA-LOIRE
201740,6,8984,4518,13450,178,89,267,93,PROVENCE-ALPES-COTE-D-AZUR
201739,6,7744,4591,10897,136,80,192,44,GRAND EST
201739,6,5141,2285,7997,86,38,134,75,NOUVELLE-AQUITAINE
201739,6,4228,2545,5911,53,32,74,84,AUVERGNE-RHONE-ALPES
201739,6,2245,1189,3301,77,41,113,27,BOURGOGNE-FRANCHE-COMTE
201739,6,3494,1578,5410,104,47,161,53,BRETAGNE
201739,6,1543,793,2293,58,30,86,24,CENTRE-VAL-DE-LOIRE
201739,6,133,23,243,41,7,75,94,CORSE
201739,6,10671,5646,15696,88,47,129,11,ILE-DE-FRANCE
201739,6,3153,1477,4829,54,25,83,76,OCCITANIE
201739,6,6536,3621,9451,107,59,155,32,HAUTS-DE-FRANCE
201739,6,1823,0,3648,53,0,106,28,NORMANDIE
201739,6,3778,1474,6082,100,39,161,52,PAYS-DE-LA-LOIRE
201739,6,5972,2277,9667,119,46,192,93,PROVENCE-ALPES-COTE-D-AZUR
201738,6,8888,5818,11958,156,102,210,44,GRAND EST
201738,6,3622,1055,6189,60,17,103,75,NOUVELLE-AQUITAINE
201738,6,6999,4822,9176,88,61,115,84,AUVERGNE-RHONE-ALPES
201738,6,2335,1139,3531,80,39,121,27,BOURGOGNE-FRANCHE-COMTE
201738,6,4619,2118,7120,137,63,211,53,BRETAGNE
201738,6,1658,879,2437,63,33,93,24,CENTRE-VAL-DE-LOIRE
201738,6,151,33,269,46,10,82,94,CORSE
201738,6,8373,533,16213,69,4,134,11,ILE-DE-FRANCE
201738,6,2036,695,3377,35,12,58,76,OCCITANIE
201738,6,8483,5423,11543,139,89,189,32,HAUTS-DE-FRANCE
201738,6,1370,357,2383,40,10,70,28,NORMANDIE
201738,6,3379,1902,4856,90,51,129,52,PAYS-DE-LA-LOIRE
201738,6,10240,5342,15138,203,106,300,93,PROVENCE-ALPES-COTE-D-AZUR
201737,6,6471,4234,8708,114,75,153,44,GRAND EST
201737,6,7407,2292,12522,123,38,208,75,NOUVELLE-AQUITAINE
201737,6,6023,4025,8021,76,51,101,84,AUVERGNE-RHONE-ALPES
201737,6,2239,1131,3347,77,39,115,27,BOURGOGNE-FRANCHE-COMTE
201737,6,1895,450,3340,56,13,99,53,BRETAGNE
201737,6,1662,857,2467,63,33,93,24,CENTRE-VAL-DE-LOIRE
201737,6,307,144,470,94,44,144,94,CORSE
201737,6,8028,2777,13279,66,23,109,11,ILE-DE-FRANCE
201737,6,3596,1716,5476,62,30,94,76,OCCITANIE
201737,6,5759,3233,8285,94,53,135,32,HAUTS-DE-FRANCE
201737,6,2230,986,3474,65,29,101,28,NORMANDIE
201737,6,2993,492,5494,79,13,145,52,PAYS-DE-LA-LOIRE
201737,6,12652,7072,18232,251,140,362,93,PROVENCE-ALPES-COTE-D-AZUR
201736,6,5246,3073,7419,92,54,130,44,GRAND EST
201736,6,4027,1779,6275,67,30,104,75,NOUVELLE-AQUITAINE
201736,6,4845,2819,6871,61,36,86,84,AUVERGNE-RHONE-ALPES
201736,6,2065,1026,3104,71,35,107,27,BOURGOGNE-FRANCHE-COMTE
201736,6,2698,1231,4165,80,36,124,53,BRETAGNE
201736,6,1581,800,2362,60,30,90,24,CENTRE-VAL-DE-LOIRE
201736,6,275,122,428,84,37,131,94,CORSE
201736,6,11275,5160,17390,93,43,143,11,ILE-DE-FRANCE
201736,6,3811,1801,5821,65,31,99,76,OCCITANIE
201736,6,5103,2730,7476,84,45,123,32,HAUTS-DE-FRANCE
