week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
201752,3,16085,11708,20462,283,206,360,44,GRAND EST
201752,3,29458,22201,36715,490,369,611,75,NOUVELLE-AQUITAINE
201752,3,44249,37589,50909,556,472,640,84,AUVERGNE-RHONE-ALPES
201752,3,6750,4422,9078,232,152,312,27,BOURGOGNE-FRANCHE-COMTE
201752,3,13675,10253,17097,407,305,509,53,BRETAGNE
201752,3,10074,8035,12113,381,304,458,24,CENTRE-VAL-DE-LOIRE
201752,3,284,116,452,87,36,138,94,CORSE
201752,3,48723,38697,58749,402,319,485,11,ILE-DE-FRANCE
201752,3,19651,14466,24836,337,248,426,76,OCCITANIE
201752,3,22604,17815,27393,370,292,448,32,HAUTS-DE-FRANCE
201752,3,14823,9949,19697,434,291,577,28,NORMANDIE
201752,3,13511,9973,17049,359,265,453,52,PAYS-DE-LA-LOIRE
201752,3,38343,31602,45084,761,627,895,93,PROVENCE-ALPES-COTE-D-AZUR
201751,3,12933,9388,16478,228,166,290,44,GRAND EST
201751,3,23242,16561,29923,387,276,498,75,NOUVELLE-AQUITAINE
201751,3,30373,25053,35693,382,315,449,84,AUVERGNE-RHONE-ALPES
201751,3,3416,1707,5125,118,59,177,27,BOURGOGNE-FRANCHE-COMTE
201751,3,13146,10015,16277,391,298,484,53,BRETAGNE
201751,3,8446,6728,10164,320,255,385,24,CENTRE-VAL-DE-LOIRE
201751,3,327,156,498,100,48,152,94,CORSE
201751,3,49403,40654,58152,408,336,480,11,ILE-DE-FRANCE
201751,3,18199,13706,22692,312,235,389,76,OCCITANIE
201751,3,20375,16131,24619,334,264,404,32,HAUTS-DE-FRANCE
201751,3,10294,6883,13705,301,201,401,28,NORMANDIE
201751,3,6876,4356,9396,183,116,250,52,PAYS-DE-LA-LOIRE
201751,3,25149,20091,30207,499,399,599,93,PROVENCE-ALPES-COTE-D-AZUR
201750,3,6032,3528,8536,106,62,150,44,GRAND EST
201750,3,10467,6278,14656,174,104,244,75,NOUVELLE-AQUITAINE
201750,3,14124,11061,17187,178,140,216,84,AUVERGNE-RHONE-ALPES
201750,3,1782,384,3180,61,13,109,27,BOURGOGNE-FRANCHE-COMTE
201750,3,9568,6954,12182,285,207,363,53,BRETAGNE
201750,3,4218,3050,5386,160,116,204,24,CENTRE-VAL-DE-LOIRE
201750,3,206,71,341,63,22,104,94,CORSE
201750,3,39953,32596,47310,330,269,391,11,ILE-DE-FRANCE
201750,3,7622,5284,9960,131,91,171,76,OCCITANIE
201750,3,7138,4843,9433,117,79,155,32,HAUTS-DE-FRANCE
201750,3,7538,4898,10178,221,144,298,28,NORMANDIE
201750,3,5768,3291,8245,153,87,219,52,PAYS-DE-LA-LOIRE
201750,3,13571,9107,18035,269,180,358,93,PROVENCE-ALPES-COTE-D-AZUR
201749,3,3013,1241,4785,53,22,84,44,GRAND EST
201749,3,5751,3270,8232,96,55,137,75,NOUVELLE-AQUITAINE
201749,3,6111,4123,8099,77,52,102,84,AUVERGNE-RHONE-ALPES
201749,3,512,0,1228,18,0,43,27,BOURGOGNE-FRANCHE-COMTE
201749,3,3995,2265,5725,119,68,170,53,BRETAGNE
201749,3,2669,1715,3623,101,65,137,24,CENTRE-VAL-DE-LOIRE
201749,3,247,103,391,76,32,120,94,CORSE
201749,3,16952,12002,21902,140,99,181,11,ILE-DE-FRANCE
201749,3,3654,2073,5235,63,36,90,76,OCCITANIE
201749,3,2851,1244,4458,47,21,73,32,HAUTS-DE-FRANCE
201749,3,3336,1532,5140,98,45,151,28,NORMANDIE
201749,3,1823,219,3427,48,5,91,52,PAYS-DE-LA-LOIRE
201749,3,7274,4908,9640,144,97,191,93,PROVENCE-ALPES-COTE-D-AZUR
201748,3,2456,1066,3846,43,19,67,44,GRAND EST
201748,3,4222,1767,6677,70,29,111,75,NOUVELLE-AQUITAINE
201748,3,3803,2196,5410,48,28,68,84,AUVERGNE-RHONE-ALPES
